id;product_name;countries;ingredients;brands;stores;image_url;
829696000800;"Wild Sardines in extra virgin olive oil";"United States";""sardines/Sardines","extra-virgin-olive-oil/extra virgin olive oil","water/water","sea-salt/sea salt","aqueous-natural-smoke/aqueous natural smoke",";"Wild Planet";"Schnucks";"http://static.openfoodfacts.org/images/products/082/969/600/0800/front_en.10.400.jpg";
26049281;"La table d'Adrien Delbos";"France";""saumon-atlantique/saumon Atlantique","salmo-salar/salmo salar","eleve-en-ecosse/élevé en Ecosse","sel-sec/sel sec",";"La table d'Adrien Delbos";"Aldi";"http://static.openfoodfacts.org/images/products/26049281/front_fr.11.400.jpg";
3560070808762;"Thon Entier ";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/080/8762/front_fr.10.400.jpg";
3560070809264;"Thon Albacore au naturel entier - Carrefour";"France";""thon-albacore/Thon albacore","eau/eau","sel/sel.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/080/9264/front_fr.8.400.jpg";
3560070805372;"Morceaux de thon albacore";"France";""thon-albacore/_Thon_ albacore","thunnus-albaceres/Thunnus albaceres","eau/eau","sel/sel.",";"Carrefour Discount";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/080/5372/front_fr.6.400.jpg";
3560070801138;"Thon blanc au naturel";"France";""thon-blanc/Thon blanc","thunnus-alalunga/Thunnus alalunga","eau/eau","sel/sel.",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/080/1138/front_fr.11.400.jpg";
3560070272099;"Rillettes de Saumon";"France";""saumon-rose-du-pacifique/_Saumon_ rose du Pacifique","oncorhynchus-gorbuscha/Oncorhynchus gorbuscha","eau/eau","huile-de-colza/huile de colza","thon/_thon_","katsuwonus-pelamis-ou-thunnus-albacares/Katsuwonus pelamis ou Thunnus albacares","arome/arôme","contient-poisson-et-lait/contient _poisson_ et _lait_","arome-de-fumee/arôme de fumée","contient-poisson-et-lait/contient _poisson_ et _lait_","tomates-en-poudre/tomates en poudre","sel/sel","blanc-d-oeuf-en-poudre/blanc d'_oeuf_ en poudre","proteines-de-lait-en-poudre/protéines de _lait_ en poudre","fibres-de-pomme-de-terre-en-poudre/fibres de pomme de terre en poudre","arome-naturel-de-poivre-avec-autres-aromes-naturels/arôme naturel de poivre avec autres arômes naturels","epaississants/épaississants","carraghenanes/carraghénanes","farine-de-graines-de-caroube/farine de graines de caroube",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/2099/front_fr.9.400.jpg";
3560070272129;"Rillettes de Thon";"France";""thon/_Thon_","katsuwonus-pelamis-ou-thunnus-albacares/Katsuwonus pelamis ou Thunnus albacares","huile-de-colza/huile de colza","eau/eau","blanc-d-oeufs-en-poudre/blanc d'_oeufs_ en poudre","proteines-de-lait-en-poudre/protéines de _lait_ en poudre","fibres-de-pomme-de-terre-en-poudre/fibres de pomme de terre en poudre","arome-naturel-de-poivre/arôme naturel de poivre","avec-autres-aromes-naturels/avec autres arômes naturels","epaississants/épaississants","carraghenanes/carraghénanes","farine-de-graines-de-caroube/farine de graines de caroube",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/027/2129/front_fr.7.400.jpg";
3560071004187;"Dés de saumon fumé";"France";""saumon-atlantique/_Saumon_ Atlantique","salmo-salar/Salmo salar","graines-de-sesame/graines de _sésame_","sel/sel","graines-de-pavot-2/graines de pavot 2%.",";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/100/4187/front_fr.8.400.jpg";
3560070462902;"Truite fumée élevée en mer";"France";""truite/_Truite_","oncorhynchus-mykiss/Oncorhynchus mykiss","sel/sel.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/046/2902/front_fr.6.400.jpg";
3560070419395;"Filets de Sardine (au Naturel)";"France";""filets-de-sardines/Filets de sardines","sardina-pilchardus/Sardina pilchardus","eau/eau","sel/sel.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/041/9395/front_fr.20.400.jpg";
3560070262250;"Filets de sardines (aux herbes de Provence)";"France";""filets-de-sardines/Filets de sardines","sardina-pilchardus/Sardina pilchardus","eau/eau","vinaigres-de-vin-et-d-alcool/vinaigres de vin et d'alcool","vin-blanc/vin blanc","sel/sel","oignon/oignon","sucre/sucre","aromes-naturels/arômes naturels","herbes-deshydratees/herbes déshydratées","epaississant/épaississant","gomme-guar/gomme guar.","herbes-de-provence-0/herbes de Provence 0‚","persil-0/persil 0‚",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/026/2250/front_fr.4.400.jpg";
3560070264308;"Filets de maquereaux, Marinade citron olive";"France";""filets-de-maquereaux/Filets de maquereaux","eau/eau","huile-de-tournesol/huile de tournesol","jus-de-citron-3/jus de citron 3‚","vinaigre-d-alcool/vinaigre d'alcool","olives-vertes/olives vertes","huile-d-olive-vierge-extra-1/huile d'olive vierge extra 1‚","carottes/carottes","tomates/tomates","sel/sel","jus-de-citron-concentre-0/jus de citron concentré 0‚","arome/arôme","persil/persil","sucre/sucre","amidon-transforme-de-mais/amidon transformé de maïs","epaississant/épaississant","gomme-xanthane/gomme xanthane","gelifiant/gélifiant","carraghenanes/carraghénanes.","olives-vertes/olives vertes","sel/sel","acidifiants/acidifiants","acide-lactique/acide lactique","acide-citrique/acide citrique","antioxydant/antioxydant","acide-ascorbique/acide ascorbique",";"Carrefour,Groupe Carrefour";"Carrefour market";"http://static.openfoodfacts.org/images/products/356/007/026/4308/front_fr.10.400.jpg";
3560070262281;"filet de sardines sans huile, au citron et au basilic";"Belgique,France";""filets-de-sardines/filets de _sardines_","sardina-pilchardus/Sardina pilchardus","eau/eau","citron-3/citron 3‚","vinaigre-d-alcool/vinaigre d'alcool","vinaigre-de-vin/vinaigre de vin","contient-des-sulfites/contient des _sulfites_","vin-blanc/vin blanc","contient-des-sulfites/contient des _sulfites_","sel/sel","sucre/sucre","basilic-rehydrate-0/basilic réhydraté 0‚","arome-naturel-de-citron/arome naturel de citron","epaississant/épaississant","gomme-de-guar/gomme de guar","arome-naturel/arôme naturel",";"carrefour";"carrefour";"http://static.openfoodfacts.org/images/products/356/007/026/2281/front_fr.19.400.jpg";
3560070235841;"Saumon au naturel";"France,Belgique";"";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/023/5841/front_fr.4.400.jpg";
3560070601998;"Saumon fumé sauvage Pacifique";"France";""saumon-rouge-du-pacifique/Saumon rouge du Pacifique","oncorhynchus-nerka/Oncorhynchus nerka","sel/sel","sucre/sucre.",";"Carrefour";"Carrefour Market";"http://static.openfoodfacts.org/images/products/356/007/060/1998/front_fr.11.400.jpg";
3560070393763;"Crevettes cuites P'tites Roses";"France";""crevettes/Crevettes","penaeidae-pechees-dans-l-ocean-pacifique-et-dans-l-ocean-indien/Penaeidae pêchées dans l'océan Pacifique et dans l'Océan indien","sel/sel","acidifiants/acidifiants","acide-acetique/acide acétique","acide-lactique/acide lactique","citrates-de-sodium/citrates de sodium","colorants/colorants","beta/bêta","apocarotenal-8/apocaroténal-8","rouge-de-betterave/rouge de betterave.",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/039/3763/front_fr.5.400.jpg";
3560070393824;"Crevettes cuites Jumbo";"France";""crevettes/_Crevettes_","sel/sel","acidifiants/acidifiants","acide-acetique/acide acétique","acide-lactique/acide lactique","citrates-de-sodium/citrates de sodium.","penaeus-vannamei-elevees-en-inde/Penaeus vannamei élevées en Inde","chine-et-thailande/Chine et Thaïlande",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/039/3824/front_fr.12.400.jpg";
3560070398881;"Dos de Cabillaud Sauce au Beurre blanc";"France";""poireau/Poireau","dos-de-cabillaud/dos de _cabillaud_","creme/crème","eau/eau","beurre/_beurre_","vin-blanc/vin blanc","echalote/échalote","tomate-cerise-mi-sechee/tomate cerise mi-séchée","amidon-de-mais-cireux/amidon de maïs cireux","gelatine-de-boeuf/gélatine de boeuf","sel/sel","vinaigre-d-alcool/vinaigre d'alcool","ciboulette/ciboulette","arome-naturel/arôme naturel","contient-poissons/contient _poissons_","fibres-d-agrumes/fibres d'agrumes","poivre/poivre","muscade/muscade","curcuma/curcuma","creme-de-lait/crème de _lait_","stabilisant/stabilisant","carraghenanes/carraghénanes","sel/sel","sucre/sucre",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/039/8881/front_fr.5.400.jpg";
3560070894772;"Sardines de Bretagne préparées à l'ancienne à l'huile d'olive vierge extra";"France";""sardines/_Sardines_","sardina-pilchardus/Sardina pilchardus","huile-d-olive-vierge-extra/huile d'olive vierge extra","sel/sel.",";"Reflets de France";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/089/4772/front_fr.5.400.jpg";
3560070566143;"Miettes saveur Crabe";"France";"";"Carrefour";"";"http://static.openfoodfacts.org/images/products/356/007/056/6143/front_fr.5.400.jpg";
3560070773701;"6 bâtonnets mayonnaise allégée";"France";""batonnets-73/Bâtonnets 73‚","eau/Eau","chair-de-poisson/chair de _poisson_","amidon/amidon","contient-ble/contient _blé_","blanc-d-oeufs/blanc d'_oeufs_","huile-de-colza/huile de colza","stabilisants/stabilisants","sorbitol/sorbitol","polyphosphates/polyphosphates","sel/sel","sucre/sucre","proteines-de-soja/protéines de _soja_","amidon-modifie/amidon modifié","aromes/arômes","exhausteurs-de-gout/exhausteurs de goût","glutamate-monosodique/glutamate monosodique","ribonucleotide-disodique/ribonucléotide disodique","colorant/colorant","extrait-de-paprika-pourcentages-exprimes-sur-les-batonnets-

mayonnaise-allegee-26/extrait de paprika. Pourcentages exprimés sur les bâtonnets.

Mayonnaise allégée 26‚","eau/Eau","huile-de-colza/huile de colza","sirop-de-glucose/sirop de glucose","moutarde-de-dijon/_moutarde_ de Dijon","amidon-transforme-de-pomme-de-terre/amidon transformé de pomme de terre","vinaigre-d-alcool/vinaigre d'alcool","contient-sulfites/contient _sulfites_","sucre/sucre","sel/sel","jaune-d-oeuf-rehydrate-1/jaune d'_oeuf_ réhydraté 1‚","jaune-d-oeuf-0/jaune d'_oeuf_ 0‚","epaississants/épaississants","gomme-guar-et-gomme-xanthane/gomme guar et gomme xanthane","conservateur/conservateur","sorbate-de-potassium/sorbate de potassium","colorant/colorant","carotenoides-pourcentages-exprimes-sur-la-mayonnaise-allegee/caroténoïdes. Pourcentages exprimés sur la mayonnaise allégée.","contient-crustaces/contient _crustacés_","poissons/_poissons_","soja/_soja_","eau/eau","graines-de-moutarde/graines de _moutarde_","vinaigre-d-alcool/vinaigre d'alcool","sel/sel","conservateur/conservateur","disulfite-de-potassium/_disulfite_ de potassium","acidifiant/acidifiant","acide-citrique/acide citrique",";"Bon App,Carrefour";"Carrefour city";"http://static.openfoodfacts.org/images/products/356/007/077/3701/front_fr.8.400.jpg";
3560070509690;"Duo oeufs de lompe rouge & noir";"France";""oeufs-de-lompe-noirs/Oeufs de lompe noirs","succedane-de-caviar/Succédané de caviar","oeufs-de-lompe/Oeufs de _lompe_","eau/eau","sel/sel","epaississant/épaississant","gomme-xanthane/gomme xanthane","conservateur/conservateur","benzoate-de-sodium/benzoate de sodium","acidifiant/acidifiant","acide-citrique/acide citrique","colorants/colorants","noir-brillant-pn-et-caramel-au-sulfite-d-ammonium-

oeufs-de-lompe-rouges/noir brillant PN et caramel au sulfite d'ammonium.

Oeufs de lompe rouges","succedane-de-caviar/Succédané de caviar","oeufs-de-lompe/Oeufs de _lompe_","eau/eau","sel/sel","epaississant/épaississant","gomme-xanthane/gomme xanthane","arome/arôme","conservateur/conservateur","benzoate-de-sodium/benzoate de sodium","acidifiant/acidifiant","acide-cittrique/acide cittrique","colorants/colorants","extrait-de-paprika/extrait de paprika","carmin/carmin",";"Carrefour";"Carrefour";"http://static.openfoodfacts.org/images/products/356/007/050/9690/front_fr.8.400.jpg";
3560070813704;"Truite fumée façon Carpaccio à l'huile d'olive et au poivre de Sichuan (5 tranches) - 100 g";"France";""fines-lamelles-de-truite-fumee-marinee-au-poivre-de-sichuan-avec-une-dosettc-a-l-huile-d-olive-vierge-extra/Fines lamelles de truite fumée marinée au poivre de Sichuan avec une dosettc à l’huile d'olive vierge extra","citronnee-truite-elevee-en-eau-douce-en-france-ingredients/citronnée. Truite élevée en eau douce en France. Ingrédients","en-ciel/en-ciel","oncorhynchus-mykiss/Oncorhynchus mykiss","/*","marinade-5/marinade 5%*","dextrose/dextrose","epices-et-aromates/épices et aromates","sel/sel","sucre/sucre","aromes-naturels/arômes naturels","poivron/poivron","huile-de-colza/huile de colza","sel-3/sel 3%*.","exprimes-sur-le-carpaccio/*% exprimés sur le carpaccio","
dosette-a-l-huile-d-olive-citronnee-25-g/.
